trait,gamma,gene,Start (MB),seed1,seed2,seed3,seed4,seed5
alka_phos,0.001,PLEKHM1,43.515223,3.080002919375602e-11,3.091304989766286e-11,3.0744740087129685e-11,3.081390698156383e-11,3.078204358075709e-11
alka_phos,0.001,APBA3,3.751023,2.5701663020072374e-13,2.5790480862042386e-13,2.55351295663786e-13,2.552402733613235e-13,2.5768276401549883e-13
alka_phos,1.0,MGAT5,135.011974,4.148159593597711e-11,4.1337377965078304e-11,4.177647117131755e-11,4.123645869213988e-11,4.1598280375865215e-11
alka_phos,0.1,MYO1B,192.141621,6.42601009959165e-06,6.447683019494832e-06,6.420456583944301e-06,6.505789057364986e-06,6.492616450914923e-06
alka_phos,0.1,CABP1,121.078488,2.850973235268839e-09,2.8967509502209055e-09,2.931092923930123e-09,2.922869390964422e-09,2.905526264029845e-09
alka_phos,0.1,TJP3,3.728373,2.6247337636675638e-11,2.5722757257540252e-11,2.6282864773463643e-11,2.6529556329535353e-11,2.551259203897871e-11
alka_phos,0.01,BCL7B,72.951627,1e-14,1e-14,1e-14,1e-14,1e-14
alka_phos,10.0,CBLC,45.281188,2.6198313148873e-06,2.627511499486701e-06,2.81240743471578e-06,2.6912529800249274e-06,2.5840177773073236e-06
alka_phos,10.0,RFX4,106.977098,2.9816465207943565e-07,2.963549454726433e-07,2.9824887515239595e-07,2.9637913134816785e-07,2.960621451331136e-07
alka_phos,0.001,C7orf50,1.03726,1.4463444331092035e-08,1.4464329955998778e-08,1.4471963627471496e-08,1.4479714982584824e-08,1.4464605180286583e-08
alka_phos,0.001,HSPG2,22.149808,1e-14,1e-14,1e-14,1e-14,1e-14
alka_phos,0.1,DGKH,42.622909,1.9219136060399933e-08,1.9367601189479444e-08,1.889366618712529e-08,1.9502805592708228e-08,1.928606174761427e-08
alka_phos,0.01,NFATC1,77.156224,5.735451380495249e-08,5.7004156506224035e-08,5.720751183879713e-08,5.745506803656042e-08,5.7234273098671906e-08
alka_phos,0.1,KIF9,47.270141,1.362154833373097e-09,1.4040872908793745e-09,1.3102251505969775e-09,1.3544045884827938e-09,1.3674806842445264e-09
alka_phos,10.0,UBE2Z,46.985865,5.75206790653926e-06,4.958825377876508e-06,5.3982074845748684e-06,5.899735477266077e-06,5.276258417286073e-06
alka_phos,0.001,PHLPP2,71.682792,1e-14,1e-14,1e-14,1e-14,1e-14
alka_phos,10.0,SEC31B,102.247372,1.2361223156176493e-12,1.2381207170619746e-12,1.233679824963474e-12,1.2587708653200025e-12,1.226574397605873e-12
alka_phos,0.001,PHKB,47.495261,2.3771337098743572e-07,2.377258360164447e-07,2.3696248718785284e-07,2.3802711812681565e-07,2.3839541829495658e-07
alka_phos,0.1,ACSS1,24.988397,1.2312373343092986e-13,1.1535217225855376e-13,1.1579626146840383e-13,1.2989609388114332e-13,1.2101430968414206e-13
alka_phos,10.0,BCAM,45.312381,2.50476814400713e-07,2.4706058721069013e-07,2.611486596970636e-07,2.445020206298665e-07,2.480742929966695e-07
alka_phos,0.1,DNAH2,7.623052,1.2416806782766798e-07,1.1980974712333392e-07,1.2122929671232185e-07,1.233353592589026e-07,1.2229419277254294e-07
alka_phos,0.001,TMPRSS11E,69.31323,1e-14,1e-14,1e-14,1e-14,1e-14
alka_phos,0.001,SPI1,47.376777,1.4225957911673248e-07,1.423367197439518e-07,1.4171468576407165e-07,1.41816454024557e-07,1.4221327404584372e-07
alka_phos,0.001,LDLRAD2,22.138944,1e-14,1e-14,1e-14,1e-14,1e-14
alka_phos,0.001,ADAMTSL2,136.401834,1e-14,1e-14,1e-14,1e-14,1e-14
alka_phos,1.0,NUCKS1,205.687407,2.1389559012874315e-09,2.3137501914405334e-09,2.125649878337299e-09,2.230751916521001e-09,2.442358759680019e-09
alka_phos,0.1,ALOX5,45.869727,2.66173703078465e-08,2.7054470996823454e-08,2.6276689935045283e-08,2.6625222027121254e-08,2.6502976036013592e-08
alka_phos,0.001,MAU2,19.431668,1e-14,1e-14,1e-14,1e-14,1e-14
alka_phos,0.1,GBF1,104.018695,3.5327219051195513e-06,3.5114678484937656e-06,3.505766231981511e-06,3.623369897121087e-06,3.489975209713947e-06
alka_phos,1.0,PRSS55,10.383095,1.7222223647195278e-11,1.655897641228421e-11,1.593059018034637e-11,1.673594596240946e-11,1.6007639658255357e-11
alka_phos,0.001,NBPF3,21.771579,1e-14,1e-14,1e-14,1e-14,1e-14
alka_phos,10.0,MBOAT7,54.677737,1e-14,1e-14,1e-14,1e-14,1e-14
alka_phos,0.001,ANAPC5,121.746282,1.0023981644735613e-09,9.958349700411873e-10,1.0023735175224147e-09,1.0081531165440083e-09,1.0006103723370074e-09
alka_phos,1.0,PHLDB1,118.484551,1.0765877078711128e-10,9.476130991004084e-11,7.671774326922787e-11,8.961809072616234e-11,9.776635057079375e-11
alka_phos,10.0,MMP9,44.637565,7.800546875103009e-10,7.15492554093089e-10,7.193162732122005e-10,7.08979541741428e-10,7.171863103394571e-10
alka_phos,0.1,CLPTM1,45.458652,1.0722644994132224e-11,1.012578909609374e-11,9.165668224397905e-12,1.1455170145779903e-11,9.772960218867865e-12
alka_phos,0.01,ONECUT1,53.049751,3.2574873166657525e-06,3.269887998924581e-06,3.2637231937027167e-06,3.2129537455016788e-06,3.2174981313692896e-06
alka_phos,1.0,SLC30A5,68.390082,2.4008232735184265e-08,2.4636517048648443e-08,2.282019595511997e-08,2.274616384134731e-08,2.2535396104750305e-08
alka_phos,0.1,THADA,43.458086,4.4092285844676837e-07,4.4213266581216715e-07,4.4296091228357426e-07,4.415622638642702e-07,4.413271359471338e-07
alka_phos,0.001,TMC4,54.664042,1e-14,1e-14,1e-14,1e-14,1e-14
alka_phos,0.01,ZNF90,20.188941,4.588023371221439e-07,4.877975321448957e-07,4.733625083019888e-07,4.896099656814812e-07,4.795448456107465e-07
alka_phos,10.0,ARHGAP27,43.472821,1.0539569217371536e-11,8.738121337614757e-12,1.0033862629654777e-11,8.48010550669187e-12,9.634515407697108e-12
alka_phos,0.001,TRIM5,5.685317,1e-14,1e-14,1e-14,1e-14,1e-14
alka_phos,1.0,SLC12A4,67.978742,1e-14,1e-14,1e-14,1e-14,1e-14
alka_phos,1.0,NT5C2,104.849428,3.2124303217528904e-12,3.1911140396800874e-12,3.29891669537119e-12,3.312683460876542e-12,3.1954439094761256e-12
alka_phos,1.0,CELA3B,22.303532,4.501768846587595e-09,4.378324813814061e-09,4.458524438533118e-09,4.448780899224403e-09,3.880119781030089e-09
alka_phos,1.0,FAM83E,49.104365,1e-14,1e-14,1e-14,1e-14,1e-14
alka_phos,10.0,ADCY4,24.787621,1.5602599474640044e-06,1.5448807382245633e-06,1.1843071552330997e-06,1.746560278736986e-06,1.0976686359853716e-06
alka_phos,0.001,PROKR1,68.872953,5.2772374443676995e-06,5.221481945927309e-06,5.1853536737755945e-06,5.243927920783875e-06,5.262873328915063e-06
alka_phos,0.01,RNF123,49.728598,1.66941694168532e-06,1.7408730730306132e-06,1.6921976420114504e-06,1.6549313517355557e-06,1.7440768469434431e-06
alka_phos,1.0,DAG1,49.547967,5.051553090273941e-07,4.728115934327093e-07,5.01474575864691e-07,5.231042656816953e-07,5.000184106762617e-07
alka_phos,0.001,NEIL2,11.628956,1e-14,1e-14,1e-14,1e-14,1e-14
alka_phos,0.001,GATA4,11.565821,1e-14,1e-14,1e-14,1e-14,1e-14
alka_phos,0.001,DVL2,7.129183,1e-14,1e-14,1e-14,1e-14,1e-14
alka_phos,0.001,RAP1GAP,21.924212,1e-14,1e-14,1e-14,1e-14,1e-14
alka_phos,0.01,HP1BP3,21.071289,1.3737080850617645e-07,1.3697506318077757e-07,1.3933664499976572e-07,1.3978653035096045e-07,1.3893331352043958e-07
alka_phos,1.0,CALCOCO1,54.105727,5.307905888929376e-06,5.000567459667593e-06,5.73160646299975e-06,4.832119808062529e-06,5.137128706089733e-06
alka_phos,10.0,ANKS3,4.747028,3.4226978706808353e-07,3.4634274925782194e-07,3.164162746260857e-07,3.122247412834511e-07,3.005171677061824e-07
alka_phos,10.0,ZNF45,44.417538,1.0903955232066664e-06,1.0873853646398146e-06,1.0920407280679e-06,1.0885592383047538e-06,1.0714361418084906e-06
alka_phos,10.0,PAPLN,73.706486,1.3397482900856517e-08,1.4220543520515605e-08,1.3558082434528274e-08,1.4209633469874916e-08,1.3709583690513227e-08
alka_phos,10.0,SLC7A6OS,68.335177,5.256787533491902e-06,5.244888556799054e-06,4.019700682311722e-06,4.422991918828778e-06,5.253784770564707e-06
alka_phos,0.1,FAM20A,66.533617,1.2719053144039094e-08,1.2291146878062875e-08,1.2768791357586906e-08,1.2556465422974838e-08,1.2374401059389584e-08
alka_phos,10.0,CTCFL,56.073605,3.348606791853115e-08,3.3276776778556894e-08,3.308496421272622e-08,3.379736046582593e-08,3.2440700126201705e-08
alka_phos,1.0,C8orf74,10.530175,1e-14,1e-14,1e-14,1e-14,1e-14
alka_phos,0.001,TULP2,49.384267,1e-14,1e-14,1e-14,1e-14,1e-14
alka_phos,0.001,USP48,22.005909,1e-14,1e-14,1e-14,1e-14,1e-14
alka_phos,10.0,TRIM54,27.505599,4.312195045486078e-11,4.164979472420782e-11,3.524036618074433e-11,3.876787779688584e-11,4.343758686076171e-11
